nombre,mois,v1,v2,v3,v4,v5,v6,v8,v9,v10,v11,v13,v14,v15,v16,v17,v18,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v44,v46,v47,v48,v49,v50,v118,v53,v54
1,11,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,1,4,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,12,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,4,0,0,0,1,1,1,1,0,0,0,0,5,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
2,10,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,12,2,12,1,0,1,0,2,0,1,4,0,2,1,2,1,2,0,0,0,1,1,1,1,0,0,0,0,5,2,0,1,0,-1,1,-1,0,8,1,1,0,0,15,2,0
1,11,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,1,4,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,5,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,10,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,9,0,0,0,1,1,1,1,0,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
3,11,3,12,1,1,1,0,2,0,1,4,0,6,0,3,1,5,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,-1,1,0,0,8,0,1,0,2,17,2,0
1,10,2,12,1,0,1,0,2,0,1,0,0,2,1,2,1,9,0,0,0,1,1,1,1,0,0,0,0,4,2,2,1,0,-1,1,-1,0,8,1,1,0,0,15,2,0
1,11,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,9,0,0,0,1,1,1,1,0,0,0,1,5,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,10,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
3,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,5,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,6,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,14,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,11,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,11,0,0,0,1,1,1,1,0,0,0,0,4,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
12,11,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,1,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,1,5,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,12,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,6,0,0,1,1,0,1,1,0,0,0,0,5,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,8,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,6,0,0,0,1,1,1,1,0,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,12,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,5,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,12,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,6,0,0,0,1,1,1,1,0,0,0,0,5,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,10,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,9,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,6,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
20,9,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,11,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,11,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,6,0,0,0,1,1,1,1,0,0,0,0,4,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,9,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,4,0,0,0,1,1,1,1,0,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,9,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,4,0,0,0,1,1,1,1,0,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,10,2,12,1,0,1,0,2,0,1,4,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,4,2,0,1,0,-1,1,-1,0,8,1,1,0,0,15,2,0
1,11,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,4,0,0,0,1,1,1,1,0,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,1,5,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,9,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,14,0,0,1,1,0,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,2,0,0,0,1,1,1,1,0,0,0,0,5,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,12,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,4,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
2,10,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,6,0,0,0,1,1,1,1,0,0,0,1,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
2,5,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,5,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,7,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,3,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,10,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,5,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,11,3,12,1,1,1,0,2,0,1,4,0,6,0,3,1,12,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,-1,1,0,0,8,0,1,0,2,17,2,0
1,12,2,12,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,5,2,2,1,0,-1,1,-1,0,8,1,1,0,0,15,2,0
1,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,9,0,0,0,1,1,1,1,0,0,0,0,5,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
2,9,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,14,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,5,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,5,0,0,1,1,0,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,11,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,14,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,10,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,6,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,11,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,7,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,1,0,0,1,1,0,1,1,0,0,0,6,1,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,6,2,11,1,1,1,0,2,0,0,1,0,5,1,2,1,9,0,0,0,0,1,0,1,0,0,0,0,4,1,0,1,0,-1,1,-1,0,5,1,1,0,2,61,2,0
1,8,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,14,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
5,9,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,9,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,8,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,11,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,7,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,6,0,0,1,1,0,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,8,2,12,1,0,1,0,2,0,1,0,0,2,1,2,1,9,0,0,0,1,1,1,1,0,0,0,0,4,2,2,1,0,-1,1,-1,0,8,1,1,0,0,15,2,0
1,7,1,11,1,0,1,0,0,0,1,3,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,3,1,4,1,0,0,1,-1,0,5,1,0,0,2,11,2,0
3,12,1,11,1,0,0,1,0,0,1,3,0,1,1,1,1,6,0,0,1,1,0,1,1,0,0,0,1,1,1,4,1,0,0,1,-1,0,5,1,0,0,2,11,2,0
2,8,3,12,1,1,1,0,2,0,0,1,0,6,0,3,1,14,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,-1,1,-1,0,8,0,1,0,2,17,2,0
1,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,11,0,0,0,1,1,1,1,1,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,9,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,14,0,0,1,1,0,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,6,0,0,0,1,1,1,1,0,0,0,0,5,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,9,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,4,0,0,0,1,1,1,1,0,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,10,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,12,1,11,1,0,1,0,0,0,1,3,0,1,1,1,1,14,0,0,1,1,1,1,1,0,0,0,0,1,1,4,1,0,0,1,-1,0,5,1,0,0,2,11,2,0
2,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,5,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,5,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,14,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,9,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,11,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,6,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,14,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,6,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,14,0,0,1,1,0,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,8,1,11,1,0,0,0,0,0,1,3,0,1,1,1,1,14,0,0,1,1,1,1,1,0,0,0,0,3,1,4,1,0,0,1,-1,0,5,1,0,0,2,11,2,0
2,12,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,5,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,7,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,14,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,6,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,5,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,8,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,14,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,8,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,12,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,6,0,0,0,1,1,1,1,0,0,0,1,2,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,12,1,11,1,0,1,0,0,0,1,3,0,1,1,1,1,14,0,0,1,1,0,1,1,0,0,0,1,2,1,4,1,0,0,1,-1,0,5,1,0,0,2,11,2,0
15,12,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,11,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,12,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,4,0,0,0,1,1,1,1,0,0,0,0,5,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,9,1,11,1,0,1,0,0,0,1,3,0,1,1,1,1,14,0,0,1,1,1,1,1,0,0,0,0,3,1,4,1,0,0,1,-1,0,5,1,0,0,2,11,2,0
2,12,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,4,0,0,0,1,1,1,1,0,0,0,0,5,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,8,1,11,1,0,1,0,2,0,1,3,0,3,1,1,1,14,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,10,2,12,1,0,1,0,2,0,1,4,0,2,1,2,1,2,0,0,0,1,1,1,1,0,0,0,0,4,2,0,1,0,-1,1,-1,0,8,1,1,0,0,15,2,0
1,9,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,9,0,0,1,1,0,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,8,1,11,1,0,0,0,2,0,1,3,0,3,1,1,1,6,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,6,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,6,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,9,0,0,0,1,1,1,1,0,0,0,0,5,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,7,1,11,1,0,1,0,0,0,1,3,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,3,1,4,1,0,0,1,-1,0,5,1,0,0,2,11,2,0
1,12,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,9,0,0,1,1,0,1,1,0,0,0,0,5,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,5,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,4,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,9,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,14,0,0,1,1,0,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,12,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,14,0,0,0,1,1,1,1,0,0,0,0,2,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,12,2,12,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,4,2,2,1,0,-1,1,-1,0,8,1,1,0,0,15,2,0
1,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,11,0,0,0,1,1,1,1,0,0,0,0,5,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,11,1,11,1,0,1,0,1,0,1,4,0,3,1,1,1,14,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,6,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,5,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
2,5,2,11,1,1,1,0,2,0,1,1,0,5,1,2,1,9,0,0,0,0,1,0,1,0,0,0,0,4,1,0,1,0,-1,1,-1,0,5,1,1,0,2,61,2,0
1,10,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,11,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,8,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,6,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,12,1,11,1,0,1,0,0,0,1,3,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,4,1,0,0,1,-1,0,5,1,0,0,2,11,2,0
1,6,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,14,0,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,12,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,6,0,0,0,1,1,1,1,0,0,0,1,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
2,12,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,6,0,0,0,1,1,1,1,0,0,0,0,5,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,9,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,4,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,11,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,9,0,0,0,1,1,1,1,0,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,9,2,11,1,0,1,0,2,0,1,0,0,2,1,2,1,2,0,0,0,1,1,1,1,0,0,0,0,4,1,2,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,12,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,11,2,12,1,0,1,0,2,0,1,0,0,2,1,2,1,4,0,0,0,1,1,1,1,0,0,0,0,4,2,2,1,0,-1,1,-1,0,8,1,1,0,0,15,2,0
1,10,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,11,0,0,0,1,1,1,1,0,0,0,0,4,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
2,12,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,4,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
1,8,2,12,1,1,1,0,2,0,1,4,0,5,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,5,2,0,1,1,-1,1,-1,0,8,1,1,0,2,0,2,0
1,10,3,12,1,1,1,0,2,0,0,1,0,6,0,3,1,4,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,-1,1,0,0,8,0,1,0,2,17,2,0
1,9,3,12,1,1,1,0,2,0,1,4,0,6,0,3,1,14,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,-1,1,-1,0,8,0,1,0,2,17,2,0
1,8,2,12,1,0,1,0,2,0,1,0,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,4,2,2,1,0,-1,1,-1,0,8,1,1,0,0,15,2,0
1,12,1,11,1,0,1,0,2,0,1,4,0,3,1,1,1,5,0,0,0,1,1,1,1,0,0,0,0,5,1,0,1,0,-1,1,-1,0,5,1,1,0,2,11,2,0
1,10,2,11,1,0,1,0,2,0,1,4,0,2,1,2,1,14,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,-1,1,-1,0,5,1,1,0,0,14,2,0
